title,author,year,rating,subject
Wuthering Heights,Emily Brontë,1846,N/A,romance
Emma,Jane Austen,1815,N/A,romance
Sense and Sensibility,Jane Austen,1811,N/A,romance
Little Women,Louisa May Alcott,1848,N/A,romance
Jane Eyre,Charlotte Brontë,1847,N/A,romance
Northanger Abbey,Jane Austen,1818,N/A,romance
Ethan Frome,Edith Wharton,1910,N/A,romance
Anna Karenina,Лев Толстой,1876,N/A,romance
Le Comte de Monte Cristo,Alexandre Dumas,1830,N/A,romance
Uncle Tom's Cabin,Harriet Beecher Stowe,1850,N/A,romance
The Moonstone,Wilkie Collins,1868,N/A,romance
Women in Love,D. H. Lawrence,1877,N/A,romance
This Side of Paradise,F. Scott Fitzgerald,1920,N/A,romance
Cranford,Elizabeth Cleghorn Gaskell,1853,N/A,romance
Heart of Darkness,Joseph Conrad,1899,N/A,romance
Jude the Obscure,Thomas Hardy,1895,N/A,romance
"Under the Greenwood Tree or, The Mellstock quire",Thomas Hardy,1872,N/A,romance
The Woodlanders,Thomas Hardy,1800,N/A,romance
The pioneers,James Fenimore Cooper,1800,N/A,romance
The Age of Innocence,Edith Wharton,1920,N/A,romance
Framley Parsonage,Anthony Trollope,1861,N/A,romance
Daisy Miller,Henry James,1877,N/A,romance
Le rouge et le noir,Marie De Stendhal,1830,N/A,romance
The Ambassadors,Henry James,1903,N/A,romance
Far From the Madding Crowd,Thomas Hardy,1874,N/A,romance
Washington Square,Henry James,1880,N/A,romance
The Return of the Native,Thomas Hardy,1878,N/A,romance
Poirot investigates,Agatha Christie,1924,N/A,romance
A Room with a View,Edward Morgan Forster,1905,N/A,romance
Доктор Живаго,Boris Leonidovich Pasternak,1957,N/A,romance
